# Title : in-situ platforms catalog
# Description : catalog of available IBI in-situ platforms. 
# Project : Copernicus (generated by Puertos del Estado-SPAIN). 
# Format version : 1.0. 
# Date of update : 20200824135518
# platform_code,creation_date,update_date,wmo_platform_code,data_source,institution,institution_edmo_code,parameters,last_latitude_observation,last_longitude_observation,last_date_observation
0-3102563,2020-08-24T13:53:55Z,2019-07-08T10:08:44Z,,MO_TS_DC_0-3102563_YYYYMMDD MO_TS_DC_0-3102563_YYYYMM MO_TS_DC_0-3102563,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale)  Division of Oceanography,120,DEPH DROGUE_PRESENCE EWCT NSCT,37.91673,3.3795843,2018-06-17T03:00:00Z
0-3102841,2020-08-24T13:53:55Z,2019-07-08T10:08:44Z,,MO_TS_DC_0-3102841_YYYYMMDD MO_TS_DC_0-3102841_YYYYMM MO_TS_DC_0-3102841,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale)  Division of Oceanography,120,DEPH DROGUE_PRESENCE EWCT NSCT,37.210056,2.6322165,2018-06-21T15:00:00Z
0-3102842,2020-08-24T13:53:55Z,2019-07-08T10:08:44Z,,MO_TS_DC_0-3102842_YYYYMMDD MO_TS_DC_0-3102842_YYYYMM MO_TS_DC_0-3102842,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale)  Division of Oceanography,120,DEPH DROGUE_PRESENCE EWCT NSCT,38.44859,3.349984,2018-06-20T00:00:00Z
0-3103163,2020-08-24T13:53:55Z,2019-07-08T10:08:44Z,,MO_TS_DC_0-3103163_YYYYMMDD MO_TS_DC_0-3103163_YYYYMM MO_TS_DC_0-3103163,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale)  Division of Oceanography,120,DEPH DROGUE_PRESENCE EWCT NSCT,36.281944,0.58117515,2018-06-10T06:00:00Z
0-3103379,2020-08-24T13:53:55Z,2019-07-08T10:08:45Z,,MO_TS_DC_0-3103379_YYYYMMDD MO_TS_DC_0-3103379_YYYYMM MO_TS_DC_0-3103379,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale)  Division of Oceanography,120,DEPH DROGUE_PRESENCE EWCT NSCT,38.27931,3.1906354,2018-06-21T03:00:00Z
0-3104080,2020-08-24T13:53:55Z,2019-07-08T10:08:45Z,,MO_TS_DC_0-3104080_YYYYMMDD MO_TS_DC_0-3104080_YYYYMM MO_TS_DC_0-3104080,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale)  Division of Oceanography,120,DEPH DROGUE_PRESENCE EWCT NSCT,38.20091,4.013765,2018-06-26T03:00:00Z
0-3104083,2020-08-24T13:53:55Z,2019-07-08T10:08:45Z,,MO_TS_DC_0-3104083_YYYYMMDD MO_TS_DC_0-3104083_YYYYMM MO_TS_DC_0-3104083,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale)  Division of Oceanography,120,DEPH DROGUE_PRESENCE EWCT NSCT,37.944775,3.7734733,2018-06-17T12:00:00Z
0-3104085,2020-08-24T13:53:55Z,2019-07-08T10:08:45Z,,MO_TS_DC_0-3104085_YYYYMMDD MO_TS_DC_0-3104085_YYYYMM MO_TS_DC_0-3104085,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale)  Division of Oceanography,120,DEPH DROGUE_PRESENCE EWCT NSCT,37.64243,3.5622785,2018-06-26T18:00:00Z
0-3104088,2020-08-24T13:53:55Z,2019-07-08T10:08:45Z,,MO_TS_DC_0-3104088_YYYYMMDD MO_TS_DC_0-3104088_YYYYMM MO_TS_DC_0-3104088,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale)  Division of Oceanography,120,DEPH DROGUE_PRESENCE EWCT NSCT,37.4118,3.4493139,2018-06-18T21:00:00Z
0-3106100,2020-08-24T13:53:55Z,2019-07-08T10:09:02Z,,MO_TS_DC_0-3106100_YYYYMMDD MO_TS_DC_0-3106100_YYYYMM MO_TS_DC_0-3106100,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale)  Division of Oceanography,120,DEPH DROGUE_PRESENCE EWCT NSCT,36.695023,5.504708,2018-07-04T15:00:00Z
